Τίτλος,Συγγραφέας,Τιμή,Αρχική τιμή,url
Ραγιάς. Μέρες και νύχτες 1821 ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Καλπούζος, Γιάννης",8.00,19.90,https://www.protoporia.gr/kalpouzos-giannis-ragias.-meres-kai-nuxtes-1821-metaxeirismeno-551737.html
Ο γερμανός γιατρός ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Θεοδωρίδου, Σόφη",9.40,18.80,https://www.protoporia.gr/theodoridou-sofi-o-germanos-giatros-metaxeirismeno-499129.html
Illuminati - Οι Πεφωτισμένοι ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Brown, Dan",5.90,9.90,https://www.protoporia.gr/brown-dan-illuminati-oi-pefotismenoi-metaxeirismeno-355100.html
Η μυστική ιστορία ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Ταρτ, Ντόνα",7.90,14.90,https://www.protoporia.gr/tart-ntona-i-mustiki-istoria-metaxeirismeno-365799.html
Τα υπόγεια του Ματζέστικ ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Σιμενόν, Ζωρζ",6.00,12.00,https://www.protoporia.gr/simenon-zorz-ta-upogeia-tou-matzestik-metaxeirismeno-491652.html
Το φθινόπωρο του πατριάρχη ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Μάρκες, Γκαμπριέλ Γκαρσία",8.00,12.00,https://www.protoporia.gr/markes-gkampriel-gkarsia-to-fthinoporo-tou-patriarxi-metaxeirismeno-354890.html
Ιστορία και ταξική συνείδηση ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Λούκατς, Γκέοργκ",18.90,21.00,https://www.protoporia.gr/loukats-gkeorgk-istoria-kai-taksiki-suneidisi-metaxeirismeno-496690.html
Η νόσος του Πορτνόυ ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Ροθ, Φίλιπ",3.00,9.50,https://www.protoporia.gr/roth-filip-i-nosos-tou-portnou-metaxeirismeno-356552.html
Ανατριχίλες το φάντασμα της διπλανής πόρτας ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Στάιν, Ρ. Λ.",7.00,,https://www.protoporia.gr/stain-r.-l.-anatrixiles-to-fantasma-tis-diplanis-portas-metaxeirismeno-377658.html
Ο Ντερκ Τζέντλυ ακολουθεί τη γάτα ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Adams, Douglas",9.90,11.00,https://www.protoporia.gr/adams-douglas-o-nterk-tzentlu-akolouthei-ti-gata-metaxeirismeno-369810.html
Πόσο λίγο κρατάει η ευτυχία ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Καλλιοντζή, Αναστασία",8.00,16.60,https://www.protoporia.gr/kalliontzi-anastasia-poso-ligo-krataei-i-eutuxia-metaxeirismeno-406687.html
Γουέιτζερ ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Grann, David",15.40,22.00,https://www.protoporia.gr/grann-david-goueitzer-metaxeirismeno-634613.html
Δέσποινα ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Κορτώ, Αύγουστος",4.90,12.20,https://www.protoporia.gr/korto-augoustos-despoina-metaxeirismeno-525757.html
Όσα ήθελα να δώσω ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Μαντά, Λένα",6.50,14.40,https://www.protoporia.gr/manta-lena-osa-ithela-na-doso-metaxeirismeno-430925.html
Η ξεχασμένη γλώσσα ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Φρομ, Έριχ",14.87,16.52,https://www.protoporia.gr/from-erix-i-ksexasmeni-glossa-metaxeirismeno-374639.html
Διάλογος με την  Άννα ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Μεγαπάνου, Αμαλία",5.00,11.00,https://www.protoporia.gr/megapanou-amalia-dialogos-me-tin-anna-metaxeirismeno-388211.html
Η Κλάρα και ο ήλιος ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Ισιγκούρο, Καζούο",7.60,17.70,https://www.protoporia.gr/isigkouro-kazouo-i-klara-kai-o-ilios-metaxeirismeno-545256.html
Αυτοανάλυση ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Χόρνεϋ, Κάρεν",18.00,20.00,https://www.protoporia.gr/xorneu-karen-autoanalusi-metaxeirismeno-450103.html
Μορφωμένη ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Westover, Tara",7.08,17.70,https://www.protoporia.gr/westover-tara-morfomeni-metaxeirismeno-507262.html
Το ημερολόγιο ενός σπασίκλα 11: Όλα για όλα ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Κίνι, Τζεφ",6.10,12.20,https://www.protoporia.gr/kini-tzef-to-imerologio-enos-spasikla-11-ola-gia-ola-metaxeirismeno-464752.html
Μικρά Αγγλία ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Καρυστιάνη, Ιωάννα",4.90,15.99,https://www.protoporia.gr/karustiani-ioanna-mikra-agglia-metaxeirismeno-354880.html
Ο Θεός των μικρών πραγμάτων ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Ρόι, Αρουντάτι",2.90,16.60,https://www.protoporia.gr/roi-arountati-o-theos-ton-mikron-pragmaton-metaxeirismeno-353391.html
Το ημερολόγιο μιας χήρας ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Μποστ (Μποσταντζόγλου, Μέντης)",9.00,,https://www.protoporia.gr/mpost-mpostantzoglou-mentis-to-imerologio-mias-xiras-metaxeirismeno-454467.html
